Genes	Diseases	Mutations	Chemicals	Species	PMID
CK7>3855,CK19>3880,p53>7157,HER2>2064,Androgen receptor>367,progesterone receptor>5241,PTEN>5728	ductal carcinomas>MESH:D044584,Ductal carcinomas>MESH:D044584,aggressive malignancies>MESH:D001523,diplopia and xerophtalmia>MESH:D004172,headache>MESH:D006261,proptosis and chemosis>MESH:D005094,chemosis>No Data,corneal abscess>MESH:D003316,NGS>No Data,cancer>MESH:D009369,carcinoma cells>MESH:D002292,tumours>MESH:D009369,carcinomas of the breast and ductal carcinomas of the salivary glands>MESH:D001943		oestrogen>MESH:D004967	man>9606	27808478
p53>7157,TP53>7157,p53>22060	cancer>MESH:D009369,tumor>MESH:D009369,cancers>MESH:D009369,tumor dependencies>MESH:D009376			human>9606,mouse>10090	27808469
	cancer>MESH:D009369			patient>9606,patients>9606	27807747
hormone receptor>3164,HR>3164,HER2>2064,TP53>7157,PIK3CA>5290,AKT1>207	breast cancer>MESH:D001943,cancer>MESH:D009369,MBC>MESH:D001943,RFS>MESH:D005198			patients>9606,PATIENTS>9606,Patients>9606,human>9606	27806348
PALB2>79728	hereditary breast and ovarian cancer>MESH:D061325,breast and pancreatic cancers>MESH:D001943,ovarian>MESH:D010049,breast cancer>MESH:D001943,serous ovarian cancer>MESH:D010051,ovarian cancer>MESH:D010051		MLPA>No Data		27757719
MTOR>2475,RRAGC>64121,RPTOR>57521,raptor>57521,FLCN>201163,folliculin>201163,Gtr2>853072	Follicular Lymphoma>MESH:D008224,follicular lymphoma>MESH:D008224,lymphoma>MESH:D008223,tumor>MESH:D009369,multiple lymphoma>MESH:D008223,Cancer>MESH:D009369		GDP>MESH:D006153,leucine>MESH:C038361	Saccharomyces cerevisiae>4932,yeast>4932	27267853
				children>9606,child>9606,Participants>9606	27802256
PD-L1>29126,Programmed death-ligand 1>29126	Carcinosarcomas>MESH:D002296,tumors>MESH:D009369,aggressive neoplasms>MESH:D001523,neoplasms>MESH:D009369,malignant tumors>MESH:D009369,melanoma>MESH:D008545,colorectal cancer>MESH:D015179,tumor>MESH:D009369,cancer>MESH:D009369,carcinosarcomas>MESH:D002296,fallopian tube>MESH:D005184,sarcomatous>MESH:D018316,carcinomatous>MESH:D055756,metastases>MESH:D009362			human>9606	27801734
MAP4K4>9448	cancer>MESH:D009369,inflammation>MESH:D007249,cardiovascular disease>MESH:D002318,cancers>MESH:D009369		serine>MESH:C047902,threonine>MESH:C061951	Saccharomyces cerevisiae>4932,patients>9606	27800153
	illness>MESH:D002908		PAs>MESH:D011478	patients>9606,patient>9606	27767363
KRAS>3845,p53>7157,Her2>2064	Biliary Tract Cancers>MESH:D001661,Biliary tract cancers>MESH:D001661,aggressive disease>MESH:D001523,extrahepatic cholangiocarcinoma>MESH:D018281,gallbladder cancer>MESH:D005706,intrahepatic cholangiocarcinoma>MESH:C535533,cholangiocarcinoma>MESH:D018281,IDH>No Data,gallbladder cancers>MESH:D005706,cholangiocarcinomas>MESH:D018281,biliary tract cancers>MESH:D001661		gemcitabine>MESH:C056507	patients>9606,liver fluke>6192	27658789
COL5A1/2>1289;1290,COL3A1>1281,FBN1>2200,COL1A1>1277,TGFBR1>7046,SMAD3>4088	EDS>MESH:C536194,hereditary disorders>MESH:D030342,vascular complications>MESH:D014652,aortopathy genes>MESH:D058495,aortopathy>No Data			patients>9606	27011056
	malaria burden>MESH:D008288			child>9606,children>9606	27793587
	Hypercalcemia>MESH:D006934,Williams-Beuren Syndrome>MESH:D018980,hypercalcemia>MESH:D006934,Williams-Beuren syndrome>MESH:D018980,WBS>MESH:D018980,dehydration>MESH:D003681,hypercalciuria>MESH:D053565,nephrocalcinosis>MESH:D009397,cardiovascular disease>MESH:D002318,gastrointestinal complaints>MESH:D005767,renal anomalies>MESH:D007674,irritability and lethargy>MESH:D053609		calcium>MESH:D002118	Patients>9606,children>9606,infants>9606,patients>9606	27574996
			Be>No Data	patient>9606	27565161
	cancer>MESH:D009369			patient>9606,human>9606	27784327
MLH1>4292,MSH2>4436,EPCAM-MSH2>4072;4436,MSH6>2956,PMS2>5395,CHEK2>11200,ATM>472,BARD1>580,BRCA1>672,BRCA2>675,BRIP1>83990,NBN>4683,PTEN>5728,RAD51C>5889	hereditary cancer>MESH:D009386,endometrial cancer>MESH:D016889,endometrial carcinoma>MESH:D016889,Lynch syndrome>MESH:D003123,cancer>MESH:D009369,tumor>MESH:D009369,APC>MESH:D011125,sporadic cancer>MESH:D009369,Lynch syndrome-associated cancers>MESH:D009369,hereditary cancer syndromes>MESH:D009386			patient>9606,patients>9606,Patients>9606	27443514
	Diarrhea>MESH:D003967,diarrhea>MESH:D003967			E. coli>562	27783483
	coronary artery disease>MESH:D003324,ischemia>MESH:D007511,coronary artery lesions>MESH:D003324			patients>9606,gatekeeper>111938	27783337
	solid tumors>MESH:D009369,tumor>MESH:D009369,solid tumor>MESH:D009369,archival tumor>MESH:D009369		formalin>MESH:D005557	patient>9606,patients>9606,Patients>9606	27782854
BRD4>23476,bromodomain-containing protein 4>23476					27782467
				patient>9606	27781204
	regression>MESH:C537770			participants>9606,person>9606	27779946
BRCA1>672,BRCA>672,CHEK2>11200,ATM>472,PALB2>79728	hereditary breast and ovarian cancer>MESH:D061325,cancer>MESH:D009369,HBOC cancer>MESH:D009369,cancers>MESH:D009369			patients>9606	27779110
	peripheral artery disease>MESH:D058729,learning algorithms>MESH:D007859			patient>9606,patients>9606	27266594
			MDPH>No Data		27774608
	metastases>MESH:D009362,cancer>MESH:D009369,Melanomas and carcinomas of the lung>MESH:D008545,malignancies>MESH:D009369,tumors>MESH:D009369,tumor>MESH:D009369			patients>9606	27773784
	Tumor>MESH:D009369,tumor>MESH:D009369		formalin>MESH:D005557	patient>9606	27770852
EGFR>1956	lung adenocarcinomas>MESH:C538231		tyrosine>No Data	patients>9606	27631691
	IHC in Lung Adenocarcinoma>MESH:C538231,lung adenocarcinoma>MESH:C538231,lymphoma>MESH:D008223		tyrosine>No Data,formalin>MESH:D005557		27343444
BRAF>673,ASCT2>6510	cancer>MESH:D009369,colorectal cancer>MESH:D015179,colon cancer>MESH:D015179,colon cancers>MESH:D015179,CRC liver metastases>MESH:D009362,primary colon cancers>MESH:D015179,metastases>MESH:D009362,tumors>MESH:D009369		Glutamine PET>MESH:C546855,glutamine>MESH:C578860,4-[18F]fluoroglutamine>MESH:C586095,4-[18F]F-GLN>MESH:C586095,4-[18F]F>MESH:C586095,[18F]4-F-GLN PET>MESH:C546855,2-deoxy-2[18F]fluoro-D-glucose>MESH:C554683	patients>9606,human>9606,mouse>10090,Colo>307630	27770401
	Lung Cancer>MESH:D008175,lung cancer>MESH:D008175,NSCLC>MESH:D002289,hematologic malignancies>MESH:D019337,respiratory failure>MESH:D012131,intravascular coagulation>MESH:D004211,multifactorial respiratory failure>MESH:D012131		tyrosine>No Data	Patients>9606,patients>9606,patient>9606	27256487
beta=2>10242	vein loss>MESH:D012170		heroin>MESH:D003932	people>9606,participants>9606,Participants>9606	27768990
	diastolic dysfunction>MESH:D054144,stroke>MESH:D020521,pericardial effusion>MESH:D010490			patients>9606,Patients>9606	27768664
	tumor>MESH:D009369,breast cancer>MESH:D001943,aBC>MESH:C579754,cancer>MESH:D009369		PDX>MESH:C113421,NCT01521676>MESH:C079985	patient>9606,patients>9606,mouse>10090,mice>10090	27765906
	Gastrointestinal bleeding>MESH:D006471,cardiogenic thrombosis>MESH:D013927,hemorrhagic complications>MESH:D006470,hemorrhagic>MESH:D006470,gastrointestinal bleeding>MESH:D006471,hemorrhage>MESH:D006470,gastrointestinal hemorrhage>MESH:D006471,hemorrhages>MESH:D006470,bleeding>MESH:D006470		vitamin K>MESH:D014812,warfarin>MESH:D014859,dabigatran>MESH:C554682,rivaroxaban>MESH:C503223,apixaban>MESH:C522181	patients>9606,patient>9606	27569738
iNOS>4843	pancreatic ductal adenocarcinoma>MESH:D021441,paucity of T>MESH:D016738,tumor>MESH:D009369,cytotoxic T>MESH:D064420				27762323
DOT1L>84444,BCL2>596,MEN1>4221,KAT2A>2648	Acute Myeloid Leukemia>MESH:D015470,Acute myeloid leukemia>MESH:D015470,AML>MESH:D015470,cancer>MESH:D009369,leukemia>MESH:D007938			human>9606	27760321
MSH2>4436,MSH6>2956,MLH1>4292	Mismatch repair deficiency>MESH:C536928,adenocarcinoma of the prostate>MESH:D011471,tumor>MESH:D009369,prostate cancer>MESH:D011471,cancers>MESH:D009369,ductal adenocarcinoma of the prostate>MESH:D011471,metastases>MESH:D009362,tumors>MESH:D009369,carcinomas>MESH:D002277		formalin>MESH:D005557	patients>9606,patient>9606	27756888
EGFR>1956,KRAS>3845,NRAS>4893,TP53>7157,ATM>472,FBXW7>55294,FGFR3>2261,GNAQ>2776,KIT>3815,PIK3CA>5290,PTEN>5728,SMAD4>4089,SMO>6608,STK11>6794,VHL>7428,CDKN2A>1029,FGFR2>2263,GNAS>2778,JAK3>3718,SRC>6714	colorectal carcinomas>MESH:D015179,metastases>MESH:D009362,metachronous lung metastases>MESH:D009362,colorectal cancer>MESH:D015179,CRC>MESH:D015179,primary tumours>MESH:D009369,tumour>MESH:D009369,tNGS primary tumours>MESH:D009369,APC>MESH:D011125,metachronous CRC lung metastases>MESH:D009362		formalin>MESH:D005557,paraffin>MESH:D010232	patients>9606	27756406
EGFR>1956,mTOR>2475,FGFR1>2260	glioma>MESH:D005910,glioblastomas>MESH:D005909,astrocytomas>MESH:D001254,anaplastic oligodendroglioma>MESH:D009837		everolimus>MESH:C107135,erlotinib>MESH:C400278,afatinib>MESH:C522924,trametinib>MESH:C560077	patients>9606,patient>9606	27531351
TNFR-associated Protein 1>68015,TRAP1>68015,TNFR-associated protein 1>68015,Pten>5728,TRAP1>10131,Pten>19211	Prostate Cancer>MESH:D011471,proteostasis>MESH:D057165,cancer>MESH:D009369,hyperplasia>MESH:D006965,prostate cancer>MESH:D011471,invasive prostatic adenocarcinoma>MESH:D011471,prostatic intraepithelial neoplasia>MESH:D019048			Transgenic>10090,transgenic mice>10090,human>9606,mice>10090	27754870
	tuberculosis>MESH:D014376,TB-HIV coinfection>MESH:D060085			people>9606,women>9606	27754518
	REM Sleep Behavior Disorder>MESH:D020187,REM sleep behavior disorder>MESH:D020187,parasomnia disorder>MESH:D020447,polysomnographic REM sleep without atonia>MESH:D012892,synucleinopathy neurodegeneration>MESH:D019636,injury>MESH:D014947,neurodegenerative disorders>MESH:D019636,hypnosis>No Data,psychiatric RBD>MESH:D001523,overt parkinsonism or memory decline>MESH:D008569,synucleinopathy>No Data		melatonin>MESH:D008550,clonazepam>MESH:D002998,Melatonin>MESH:D008550,temazepam>MESH:D013693,lorazepam>MESH:D008140,zolpidem>MESH:C049109,zopiclone>MESH:C515050,pramipexole>MESH:C061333,donepezil>MESH:C076946,agomelatine>MESH:C084711,cannabinoids>MESH:D002186,sodium oxybate>MESH:D012978	patients>9606	27752878
	Advanced Squamous Cell Lung Cancer>MESH:D018307,Squamous cell lung cancer>MESH:D018307,cancer>MESH:D009369,toxicity>MESH:D064420,NSCLC>MESH:D002289			Patients>9606,patients>9606,patient>9606	27575423
	death>MESH:D003643,ICD-MM>OMIM:252500				27527550
Androgen Receptor>367,androgen receptor>367,AR>367,AR-FL>367,KLK3>354	Prostate Cancer>MESH:D011471,prostate cancer>MESH:D011471,tumor>MESH:D009369		Testosterone>MESH:D013739,androgen>MESH:D000728,abiraterone>MESH:C089740,enzalutamide>MESH:C540278,testosterone>MESH:D013739,bicalutamide>MESH:C053541		27473672
BRCA1>672,androgen receptor>367	breast cancer>MESH:D001943,tumours>MESH:D009369,tumour>MESH:D009369			patients>9606	27184417
	venous thromboembolism>MESH:D054556,VTE>MESH:D054556,cancer>MESH:D009369			patients>9606,PATIENTS>9606	26950039
				patients>9606,patient>9606,Patient>9606	27749641
mTORC1>382056,mTORC2>74343,mammalian target of rapamycin>2475,mTOR>2475	cancer>MESH:D009369,tumor>MESH:D009369,diabetes>MESH:D003920,neurodegeneration>MESH:D019636,cancers>MESH:D009369			human>9606	27748764
FcgammaRIIB>2213,CD62L>6402,CD62L-Ab>6402,CD20>54474,FcgammaRIIb>2213	chronic lymphocytic leukaemia>MESH:D015451,cytotoxicity>MESH:D064420,tumour>MESH:D009369		ADP>MESH:D000244	patients>9606	27748757
isocitrate dehydrogenase 1>3417,IDH1>3417,FGFR2>2263,BRAF>673,HER2>2064	biliary tract cancer>MESH:D001661,Biliary tract cancers>MESH:D001661,tumors>MESH:D009369,aggressive disease>MESH:D001523,advanced disease>MESH:D020178		Gemcitabine>MESH:C056507,cisplatin>MESH:D002945	patients>9606	27747093
PD-L1>574058,PD-1>100037293,CD4>404704	nonneoplastic thymus>MESH:D013953,thymic lesions>MESH:D013953,thymomas>MESH:D013945,thymic squamous cell carcinoma>MESH:D002294,carcinomas>MESH:D002277,thymomas and carcinomas>MESH:D013945				27746267
	congenital abnormalities>MESH:D000013			human>9606	27745839
				patient>9606,Patient>9606	27586855
	Non-Small Cell Lung Cancer>MESH:D002289,NSCLC>MESH:D002289,Toxicity>MESH:D064420,tumor>MESH:D009369,toxicity>MESH:D064420,cardiac toxicity>MESH:D066126			patient>9606,patients>9606,Patients>9606	27743888
	hereditary cancer>MESH:D009386			Human>9606,human>9606,patients>9606	27742414
mTOR>2475,VHL>7428,PTEN>5728,JAK3>3718,ERBB4>2066,CDKN2A>1029,FGFR3>2261,EGFR>1956,RB1>5925,TP53>7157,VHL1>7428,p53>7157	renal cell cancer>MESH:D002292,Renal cell cancer>MESH:D002292,RCC>MESH:D002292,NGS>No Data,cancer>MESH:D009369,APC>MESH:D011125		tyrosine>No Data,Sorafenib>MESH:C471405,Sunitinib>MESH:C473478,Temsirolimus>MESH:C401859	patients>9606,Patients>9606	27741505
KIT>3815,c-Kit>3815,HRAS>3265,BRAF>673,NF1>4763,SF3B1>23451	anorectal melanoma>MESH:D008545,Anorectal melanoma>MESH:D008545,mucosal melanomas>MESH:D008545,anorectal melanomas>MESH:D008545,tumors>MESH:D009369,tumor>MESH:D009369,cutaneous melanomas>MESH:C562393,melanoma>MESH:D008545		threonine>MESH:C061951	patient>9606	27739435
	cancer>MESH:D009369				27738492
Oct-4>5460	Embryonic Signaling>MESH:C566796,cancer>MESH:D009369,tumors>MESH:D009369,tumor>MESH:D009369			patients>9606	27730468
	death>MESH:D003643			patient>9606,patients>9606	27730116
	tumour>MESH:D009369,Breast Cancer>MESH:D001943,cancer>MESH:D009369			patient>9606	27729940
cytochrome P450 2C19>1557,CYP2C19>1557	NGS>No Data				27727443
	deaths>MESH:D003643			persons>9606	27726760
	thrombosis>MESH:D013927				27716196
	free flap failure>MESH:D015673,flap failure>MESH:D017093,bowel flaps>MESH:D012778				27714840
	lymphocytic leukaemia>MESH:D007945				27714764
	cognitive impairment>MESH:D003072,disability>MESH:D009069,autism>MESH:D001321,anxiety>MESH:D001008,attention-deficit/hyperactivity disorder>MESH:D001289			Patient>9606,Participants>9606,child>9606,participants>9606,children>9606	27712703
Cox>1351,EGFR>1956	Lung Adenocarcinoma>MESH:C538231,lung cancer>MESH:D008175,lung adenocarcinoma>MESH:C538231,adenocarcinoma>MESH:D000230				27707839
HDAC1>3065,HDAC7>51564	cancer>MESH:D009369,breast and ovarian cancer>MESH:D061325,tumours>MESH:D009369,metastasis and tumour>MESH:D009362				27694895
				Patient>9606,patients>9606,patient>9606	27693595
	labor>MESH:D048949				27692078
KIT>3815	sinonasal carcinoma>MESH:C537344,Sinonasal carcinomas>MESH:C537344,tumor>MESH:D009369,cancer>MESH:D009369,tumors>MESH:D009369,gastrointestinal stromal tumor>MESH:D046152,malignancies>MESH:D009369		imatinib>MESH:C097613,regorafenib>MESH:C559147	patients>9606,patient>9606,Patients>9606	27687311
androgen receptor>367,AR>367	prostate cancer>MESH:D011471,prostate cancers>MESH:D011471		androgen>MESH:D000728,abiraterone>MESH:C089740,enzalutamide>MESH:C540278,docetaxel>MESH:C067311,cabazitaxel>MESH:C552428	men>9606	29264186
	Tumors>MESH:D009369,cancers>MESH:D009369,tumor>MESH:D009369,solid tumors>MESH:D009369,hematological malignancies>MESH:D019337,cancer>MESH:D009369		formalin>MESH:D005557		27684276
				patient>9606	27683502
			MoPH>MESH:D008982	participant>9606	27683341
RET>5979,SQSTM1>8878,TP53>7157,KIF5B>3799	Cancers>MESH:D009369,cancers>MESH:D009369,thyroid carcinoma>MESH:D013964		tyrosine>No Data,vandetanib>MESH:C452423	Patients>9606,patients>9606	27683183
				men>9606,women>9606,people>9606	27678505
estrogen receptor>2099,Estrogen receptor>2099,ESR1>2099,PIK3CA>5290,KRAS>3845,AKT1>207,FGFR3>2261,HRAS>3265,BRAF>673,CCND1>595,ZNF703>80139,FGFR1>2260,RSF1>51773,PAK1>5058,FOXA1>3169,HIF1A>3091,IDO1>3620	breast cancers>MESH:D001943,tumor>MESH:D009369,tumors>MESH:D009369			patients>9606,patient>9606	27672107
				PATIENT>9606,patients>9606,patient>9606	27670693
	Preoperative cancer cachexia>MESH:D002100,Cancer cachexia>MESH:D002100,cancer>MESH:D009369,cachexia>MESH:D002100,weight loss>MESH:D015431			patients>9606,Patients>9606	27664889
	ICD-9-CM hierarchy of diseases>OMIM:252500			patient>9606	27664505
BRAF>673,EGFR>1956,ERBB2>2064,KRAS>3845,NRAS>4893,PIK3CA>5290	Non-Small Cell Lung Cancers>MESH:D002289,non-small cell lung cancers>MESH:D002289,NSCLCs>MESH:D002289,adenocarcinomas>MESH:D000230,NSCLC>MESH:D002289		Co>MESH:C065987,Plugin>No Data	patient>9606,patients>9606,to 7>1214577	27659017
			Be>No Data		27657856
	Pancreatic Cancer>MESH:D010190				27656419
EGFR>1956	breast cancers>MESH:D001943,breast cancer>MESH:D001943,cancer>MESH:D009369,TNBC tumorgrafts>No Data,tumor>MESH:D009369		tyrosine>No Data,crizotinib>MESH:C551994,erlotinib>MESH:C400278	patients>9606	27655711
	Inborn Errors of Metabolism>MESH:D008661,inborn errors of metabolism>MESH:D008661				27649151
FBN1>2200,TGFBR1 and 2>7046;7048,ACTA2>59,SMAD3>4088,MYH11>4629,MYLK>4638	WGS>No Data,UMD>No Data,Related Disorders>MESH:D019966,UMD-MSARD>No Data			patient>9606	27647783
TP53>7157,MDM2>4193,RAC1>5879	Cell Tumors>MESH:D005935,cell tumors>MESH:D005935,death>MESH:D003643,tumor>MESH:D009369,tumors>MESH:D009369,mediastinal nonseminomas>MESH:D008480,nonseminomas>No Data		Cisplatin>MESH:D002945,cisplatin>MESH:D002945	Patients>9606,patients>9606,Men>9606	27646943
FLT3>2322,NRAS>4893,JAK3(>3718	pitfalls>No Data,sarcoma>MESH:D012509,cancer>MESH:D009369,tumor>MESH:D009369			Children>9606,human>9606	27642091
CYP2C9>1559,CYP2C19>1557,CYP3A5>1577,VKORC1>79001,SLCO1B1>10599,TPMT>7172	toxicity>MESH:D064420		warfarin>MESH:D014859		27636550
	adenocarcinoma of the lung>MESH:C538231,lung adenocarcinomas>MESH:C538231,Cancer>MESH:D009369		formalin>MESH:D005557	patients>9606	27636102
NRAS>4893,KRAS>3845,BRAF>673	multiple myeloma>MESH:D009101,amyloidosis>MESH:D000686,myeloma>MESH:D009101,AL amyloidosis>MESH:D009101			patients>9606	27634910
	cancer>MESH:D009369,tumor>MESH:D009369,tumors>MESH:D009369			patients>9606,patient>9606	27634896
	haemorrhage>MESH:D006470			participants>9606,Participants>9606,participant>9606	27633514
	Cancer>MESH:D009369,cystic fibrosis>MESH:D003550			human>9606,patient>9606	27633409
				patient>9606	27630453
	tumor>MESH:D009369,tumors>MESH:D009369,NGS tumor>MESH:D009369,cancers>MESH:D009369,cancer>MESH:D009369,NGS>No Data,hereditary cancer>MESH:D009386		formalin>MESH:D005557	patients>9606	27626691
SLC24A1>9187	Retinal Degenerations>MESH:D012162,Inherited retinopathies>MESH:D015785,inherited retinal disease>MESH:D012164,retinal disease>MESH:D012164,retinitis pigmentosa>MESH:D012174,retinal diseases>MESH:D012164			people>9606,patients>9606,patient>9606	27624628
	injury>MESH:D014947,injury and violence burden>MESH:D014947				27621337
BRCA1>672,BRCA1/2>672;675	breast cancer>MESH:D001943,Cancer>MESH:D009369			women>9606,patients>9606	27619940
mTOR>2475,STK11>6794	pituitary adenoma>MESH:D010911,Pituitary adenomas>MESH:D010911,tumor>MESH:D009369,metastases>MESH:D009362,neuroendocrine tumors>MESH:D018358,pituitary carcinomas>MESH:D010911,pituitary carcinoma>MESH:D010911,pancreatic cancer>MESH:D010190,tumors>MESH:D009369		everolimus>MESH:C107135,CAPecitabine>MESH:C110904,TEMozolomide>MESH:C047246	woman>9606	27615706
IGF2>16002,IGF2>3481,Myc>17869,Akt1>11651,Igf2>16002,IGF1>16000,AKT>11651,MYC>17869,AKT1>11651	Hepatocellular Carcinomas>MESH:D006528,hepatocellular carcinoma>MESH:D006528,tumor>MESH:D009369,tumor adjacent cirrhotic>MESH:D009369,non-tumor>MESH:C580335,hepatic hemangioma>MESH:D006391,liver tumors>MESH:D008113,xenograft tumors>MESH:D009369,Tumors>MESH:D009369,decreased tumor>No Data		sorafenib>MESH:C471405	patients>9606,mice>10090,Mice>10090,human>9606	27614046
	pancreatic cancer>MESH:D010190,cancer death>MESH:D003643,cancers>MESH:D009369,tumor>MESH:D009369,right tumor>MESH:D009369			patients>9606	27613576
ROS1>6098	NSCLC>MESH:D002289,Non Small Cell Lung Cancer>MESH:D002289,lung adenocarcinomas>MESH:C538231,metastases>MESH:D009362,bilateral ovarian metastases>MESH:D010051,adenocarcinoma of the lung>MESH:C538231		Crizotinib>MESH:C551994	patient>9606,patients>9606,woman>9606	27611848
TP53>24842,WNT>114487,KRAS>24525,neuroblastoma RAS>24605,NRAS>24605,B rapidly accelerated fibrosarcoma>114486,BRAF>114486,EGFR>24329,ERBB1>24329,ERBB2>24337,ERBB3>29496,ERBB4>59323,phosphatidylinositol-4,5-bisphosphate 3-kinase>85243,protein 53>24842,P53>24842,TGF-beta>59086	Vater Carcinoma>MESH:C536534,ampulla of Vater cancer>MESH:D009369,sarcoma>MESH:D012509,tumor>MESH:D009369		tyrosine>No Data,Everolimus>MESH:C107135	rat>10116	27611608
